#{"t_start": 1757234537.4369645, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,50.024185
-200.0,200,50.384925
-200.0,200,50.694886
-200.0,200,51.013808
-200.0,200,51.311141
-200.0,200,51.643927
-200.0,200,52.011236
-200.0,200,52.31785
-200.0,200,52.671501
-200.0,200,53.010351
-200.0,200,53.360507
-200.0,200,53.679656
-200.0,200,54.026403
-200.0,200,54.402514
-200.0,200,54.7422
-200.0,200,55.112373
-200.0,200,55.461705
-200.0,200,55.801727
-200.0,200,56.139714
-200.0,200,56.483595
-200.0,200,56.830929
-200.0,200,57.173396
-200.0,200,57.469526
-200.0,200,57.813977
-200.0,200,58.170324
-200.0,200,58.540989
-200.0,200,58.876324
-200.0,200,59.235207
-200.0,200,59.600992
-200.0,200,59.916434
-200.0,200,60.1427
-200.0,200,60.374455
-200.0,200,60.608855
-200.0,200,60.851133
-200.0,200,61.096895
-200.0,200,61.324522
-200.0,200,61.558058
-200.0,200,61.790923
-200.0,200,62.027904
-200.0,200,62.272773
-200.0,200,62.498843
-200.0,200,62.728721
-200.0,200,62.983717
-200.0,200,63.196758
-200.0,200,63.410771
-200.0,200,63.640898
-200.0,200,63.874484
-200.0,200,64.094378
-200.0,200,64.310429
-200.0,200,64.539047
-200.0,200,64.774709
-200.0,200,64.996296
-200.0,200,65.213642
-200.0,200,65.413909
-200.0,200,65.637614
-200.0,200,65.839828
-200.0,200,66.040891
-200.0,200,66.250513
-200.0,200,66.472943
-200.0,200,66.67701
-200.0,200,66.896616
-200.0,200,67.185213
-200.0,200,67.452288
-200.0,200,67.727631
-200.0,200,67.980259
-200.0,200,68.266642
-200.0,200,68.526646
-200.0,200,68.800972
-200.0,200,69.077747
-200.0,200,69.365118
-200.0,200,69.635605
-200.0,200,69.896927
-200.0,200,70.223345
-200.0,200,70.522169
-200.0,200,70.79787
-200.0,200,71.056415
-200.0,200,71.335488
-200.0,200,71.604937
-200.0,200,71.886937
-200.0,200,72.147594
-200.0,200,72.429244
-200.0,200,72.71556
-200.0,200,72.988083
-200.0,200,73.263529
-200.0,200,73.522269
-200.0,200,73.818797
-200.0,200,74.089639
-200.0,200,74.35295
-200.0,200,74.632241
-200.0,200,74.915549
-200.0,200,75.191987
-200.0,200,75.483922
-200.0,200,75.734542
-200.0,200,76.009686
-200.0,200,76.279454
-200.0,200,76.555587
-200.0,200,76.825776
-200.0,200,77.120406
-200.0,200,77.413322
-200.0,200,77.685693
-200.0,200,77.957623
-200.0,200,78.241991
-200.0,200,78.518709
-200.0,200,78.797782
-200.0,200,79.081861
-200.0,200,79.366281
-200.0,200,79.683913
-200.0,200,79.984553
-200.0,200,80.290801
-200.0,200,80.598574
-200.0,200,80.887448
-200.0,200,81.183325
-200.0,200,81.479026
-200.0,200,81.778672
-200.0,200,82.073743
-200.0,200,82.355441
-200.0,200,82.665165
-200.0,200,82.98327
-200.0,200,83.270221
-200.0,200,83.571724
-200.0,200,83.860172
